fer.fora to.kick.out
estar.fotut to.be.screwed.up
vessar to.pour.out
superar(malatia) to.come.though
superar(depressio) to.get.over
avancar to.overtake
desplacar.se to.travel
destacar to.stand.out
oferir-se to.volunteer
partitura sheet.music
ratllar(tachar) to.cross.out
la.punta the.tip
obligatori mandatory
obligar(fisicament) to.force
sentir-se.obligat to.be.obliged
obligat compelled
apartat(text) section
augmentar to.increase
pessa component
ocupar to.take
determinar to.set,to.indicate
saludar to.greet
espatllar to.harm,to.damage
fibrat lean
esbelt slim,slender
desagradable unpleasant
pessim lousy
folgat loose
clar,lluminos bright
tenir.por to.be.afraid
espantat scared,frightened
es.que___ the.fact.is.that
endavant forward
emprovar-se to.try.on
xai lamb
viatge juo
maleducat rude
superficial shallow
garrepa stingy
portar.se.be to.behave.oneself
tovalló napkin
mòbil cellphone
taulell counter
passadís corridor,aisle(botiga)
parella couple
sostre ceiling
refresc softdrink
pot can(metall),tin(metall),jar(vidre)
pit chest(torax),breast(teta)
cobdiciós greedy
egoista selfish
piga mole
clar(pell) fair.skinned
ensopegar to.bump.into
poc.sovint seldom
en.breu shortly
a.dins within
així this.way
actualment currently
afectuós affectionate
atrevit bold
sobresaltat shocked
deixat untidy
despistat absentminded
fiable reliable
graciós funny
entretingut amusing
inquiet restless
espavilat clever
gamberro naughty
dolent(persona) mean
pensatiu thoughful
tranquil cool,relaxed
cloissa clam
au poultry
al.forn baked
assistir(event) to.attend
destrossar to.wreck
esbocinar to.rip.apart
dirigir-se to.head,to.address
dirigir to.manage,to.lead
equipar to.fit.out
afalagar to.flatter
estar.fart to.be.tired.of,to.get.sick.of
inflar(aire) to.inflate
inflar(ferida) to.swell
fugir to.run.away,to.get.away
aixecar(mans) to.raise
aixecar(pes) to.lift
treure(quitar) to.take.off
treure(sacar) to.take.out
interpretar to.understand
assegurar to.guarantee,to.ensure.that,to.assure.someone
fresc(temps) cool
marejat dizzy
indicat suitable
compte(restaurant) check
submergir to.dip
valer.ho to.be.worth.of
preavis heads.up
quadre(marc) frame
altrament other.than.that
prediccio(temps) forecast
renyar to.tell.off
dir.ho.tot to.tell.off
imprescindible essential
ser.pesat to.pester
pesat nuisance,pain.in.the.neck
renunciar resign
retolador sketch.pen,highlight.pen(flurescent),marker(pissarra)
esquivar to.dodge
punxar to.pierce
actualment currently
impecable flawless
tranquilitzar.se to.calm.down,to.cool.down
donar.una.ullada to.check.out
manar to.boss.around,to.order
corre.un.lloc to.slide.over
quedar.se.a.dormir to.stay.over
passar.per.aqui to.stop.in
deixar.de.pensar(negatiu) to.get.over
deixar.ho.correr to.put.off
contenir.se to.restrain,to.soothe
deduir to.figure.out,to.guess
treballar.en.equip to.come.together
desanimar to.discourage,to.bring.down
treure.un.tema to.bring.up
enrotllar.se to.get.on,to.hook.up,to.make.out
cagar.la to.screw.up
recuperar to.retrieve,to.get.back,to.take.back
panic.escenic stage.fright
assajar to.rehearse,to.practise
bruticia dirt
ocupat(lloc) taken
iniciative initiative
portar.la.iniciativa to.take.the.lead
el.terra floor(indoors),ground(outdoors)
entabanar to.fool
enganyar to.cheat,to.deceive(burlar)
astut sly
conformar.se to.settle,to.conform
escletxa crack
decebut disappointed
disgustat upset
tenir.en.compte to.take.into.account,to.keep.in.mind
anar.malament to.go.wrong
malinterpretar to.misunderstand,to.get.wrong
estar.disposat to.be.willing.to
revelar to.reveal
traicionar,delatar to.betray
fer.ho.be to.get.it.right
a.qui? whom?
de.qui? whose?
avaria breakdown
avariat broken
beneficiar to.benefit
perjudicar to.harm,to.damage
vela(vaixell) sail
frustrar to.thwart
reservar to.book(paid),to.reserve(spoken)
estirar-se to.lie
pilot(motos) motorcycle.rider
pilot(cotxes) race.driver
prospecte brochure
xandall tracksuit
corretja leash
bullidor.aigua kettle
defensar(discussio) to.stand.up.for
retallar to.trim
afirmat to.assert
impedir to.prevent
estranger foreigner
aleshores so
persianes shades
assegurar(diners) to.insure
benzina petrol
oportunitat chance
percepcio perception
perspicacia insight
encantat(embadalit) delighted
llis smooth
brillar to.glow,to.sparkle(espurnes)
precaucio caution
comerciar to.trade
tronc(arbre) trunk
disfressar-se to.wear.a.costume
treure.de.casa to.put.away
llauna can(cilindrica),tin
copa(vidre) glass
copa(trofeu) cup
estufa heater
cuina stove
coberts cutlery
massa(pizza) dough
remenar to.stir
vacances holidays,day.off,summer.break
despertador alarm.clock
pista(cami) track
no.tenir.opcions to.have.not.chances
tap(ampolla) cap
acollidor cozy
es.a.dir that.is
guió(símbol) dash
dibuix drawing
buscar.al.diccionari to.look.up
enginyos clever,witty(ocurrent)
conjunt set
cau burrow
impulsar boost,propel(propulsar)
reconeixer to.admit
fer.fallida to.fail
galeta cookie(crunchy),biscuit
incredulitat incredulity
agraiment gratitude
instruir to.brief
pujar.escales to.climb.the.stairs
governar to.rule
novetat novelty
lapse span
frase.feta idiom
igualment equally
de.la.mateixa.manera,igualment likewise
gran big,large,elder
vagó coach,car,railcar
accions(finances) shares(una.companyia),stocks(diverses.companyies)
armari(4) wardrobe(roba),cupboard,cabinet,closet
amanir to.dress
registrar(cercar) to.search.through
superar(record) to.break,to.beat
okupa squatter
habitatge housing
plato.de.tv tv.set
lligar flirt
segrestar(avio) hijack
xantatge blackmail
passadis corridor,hallway(building)
colar-se to.skip.the.line,to.jump.the.queue,to.gatecrash
en.aquest.aspecte in.this.respect
cassola pan
paella frying.pan
lloar to.praise
posar-se.roba to.put.on
comencar.un.viatge to.set.off
discoteca club
llibreria bookstore
biblioteca library
hivernacle greenhouse
ajuntament town.hall
alegre joyful
presumit conceited,smug,show.off
gerro vase
test(flors) flowerpot
prova test
crep,tortita pancake
blat,blat.de.moro corn
agafar.afecte to.become.attached
abrigar-se to.cover.up
abocar-se to.lean.out
vaga strike
pinyons pineseeds
picar(trapella) rascal(nen),rogue(malintencionat)
fer.quedar.malament to.make.look.bad
ridicul ridiculous,laughable
un.moment! stand.by
espera.un.moment! hang.on,stand.by
esperar(tenir.ganes) to.look.forward,to.hope,to.wish
una.mica.mes some.more,a.little.more
germans(neutre) siblings
gastar to.use.up,to.consume
rigor severity
criteri criteria,judgement
resulta.que turns.out
ingressar to.join,to.admit(hospital),to.deposit(money)
enredat entangled
corda rope
cordo lace,shoelace
cordill string
lligar tie,wire(cordill),fasten
pedal pedal
paquet packet,a.pack.of
mecànic(local) repair.shop
cop knock,hit,strike
cognom last.name,surname
botiguer seller,shopkeeper
venedor salesman
desmotivat demotivated
com.que___ as
apuntar-se to.join,to.enrol,to.sign.up
antipatic unlikeable
comptar.amb.algu to.rely.on
ara.mateix right.now
malament wrong
al.costat(habitatge) next.door
estar.de.tornada to.be.back
estat condition
a.favor for
jo.sol by.myself
com.es? how.come?
agradar.mes like.better
esperar.amb.ganes to.look.forward
no.tenir.opcions to.have.no.choice
primer___ first.of.all
tinc.sort i.am.lucky
el.moment the.time
collaret necklace
plats.de.menjar courses
nuvi groom
tassa cup(cafe),mug(xocolata)
paquet.de.sucre bag.of.sugar
vestir-se to.get.dressed
venir.de.gust to.fancy,to.like
us.importa? do.you.mind?
retirar to.withdraw,to.remove
retirar-se to.withdraw,to.back.out
jubilar-se to.retire
es.tracta.de it.is.about
migdia midday
senzill simple,easy,straightforward
sens.dubte definetly
rentar-se.les.dents to.brush
redristribuir to.rearrange
receptar to.prescribe
horari(botiga) opening.hours
quedar to.remain,to.be.left
quedar.be to.suit
quedar-se to.stay,to.stick.around
per.sort by.chance
per.rematar.ho on.top.of.that
pensar.en.fer to.intend
passar.l'estona to.spend.time
parar.la.taula to.set.the.table
paleta(obrer) builder
en.efectiu with.cash
oposar-se to.stand.against,to.object
oi? right?
o.sigui that.is
necessari necessary
muntar to.mount(move.upwards),to.assemble(put.together)
madur(fruita) ripe
llicenciat graduate
clau(martell) nail
cargol(tornavis) screw
venda sale
tauleta.de.nit bedside.table
sortida(vehicle) departure
pensio(hostal) guest.house
pindola pill
pastilla tablet
primera.part opening
fonda,alberg inn
refugi shelter
calamarsa hail
badia bay
home.del.temps weatherman
exposicio exhibition
una.estona a.while,a.short.time
estalvis savings
autocar coach
desdir-se to.take.back
fer-se.enrere to.back.down
habil skilled
abastir to.stock.up
efectivament indeed
dissimular to.hide,to.cover
renunciar to.resign,to.renounce(oficialment)
cregut conceited
prat meadow
implicat involved
fer-se.illusions wishful-thinking
aquesta.nit tonight
passar-ho.be to.have.a.good.time
per.mes... no.matter
sortir.malament to.go.wrong
endavant forward,ahead
coneixement knowledge
madalena cupcake
investigar to.look.into
arrassar to.devastate
cinta tape(sticky),ribbon(decorative)
funda cover,case
alliberar-se to.get.free,to.break.away
abocar to.pour
abocar-se to.lean.out
recolzar-se to.lean.on
inclinar-se to.lean,to.lean.over
cutre shitty
sota.l'aigua underwater
dita saying
semblar to.seem,to.sound
assemblar-se resemble,to.look.like
no.mes no.longer
podria(condicional) might
podria(pregunta) would,could
tant___com both
fa.falta? do.i.need?
no.hi.havia.ningu no.one.was
pendre.una.decision to.make.a.decision
fer.el.millor.que.puc to.do.my.best
cap.avall downward
al.pis.d'avall downstairs
culpa fault,blame
defecte fault,flaw
mira.enrere! look.back!
morir.de.vell to.die.of.old.age
el.malalt the.patient
se'n.va it.goes
cuina(aparell) stove
caixa.del.supermercat cash.desk
tramit procedure
previsor cautious
decréixer decrease
balanca balance
exprimir squeeze
aixafar crush,squash
conviure to.live.together
de.gama.alta high.range
llencol sheet
trepidant fast-paced
penedir-se to.regret
diferenciar to.tell.apart
diferenciar-se to.differ
denunciar(informar) to.report
denunciar(demandar) to.sue
exigir to.demand
acostar-se to.get.closer
acostar to.bring.closer
impedir to.prevent
rastre trace
alegar to.claim
renunciar to.resign,to.quit,to.cancel
arrossegar to.drag
espolsar to.dust
fregar to.rub,to.brush,to.mop(floor)
sortir-se'n to.manage,to.succeed
tirar.endavant to.go.through
pis.inferior downstairs
just.en.el.moment.que as
terra soil
aquesta.nit tonight
topar to.come.to,to.crash,to.run.into
ningú none
tenir.por to.fear,to.be.afraid.of
moderat moderate,temperate
vanitós vain,conceited
presumit show-off,vain
bassal puddle
desgràcia misfortune,accident
desgraciat unfortunate,miserable
regadora watering.can
abrigar-se to.cover.up
abrigar to.shelter
ajuntar to.put.together
subsidi.d'atur unemployment.benefits
