beide both
überaus very
an.der.Tür at.the.door
gehen.weiter to.go.on
Wissenschaft science
jemanden somebody
unterwegs on.the.road
genauso just.as
müde tired
langweilig boring
schewer heavy,difficult
früh early
drin inside
draußen outside
die.Buchstaben letters
die.Kellnerin waitress
zählen to.count
scheinen to.shine
rechnen to.calculate
durch by
die.Wolke cloud
Ausdrücke expressions
herzlich cordially
das.Herz heart
die.Antwort answer
die.Aufgabe task
die.Seite page
der.Satz sentence
ergänzen to.complete
nun now
die.Farben colors
der.Ausländer foreigner
die.Menschen humans
der.Vormittag the.morning
das.Alter age
die.Tafel blackboard
das.Regal shelve
die.Enkelin granddaughter
die.Nichte niece
der.Neffe nephew
tauchen to.dive
reisen to.travel
reiten horseriding
allein alone
hässlich ugly
geschieden divorced
dort there
erst only
gern gladly
jetzt now
schon already
unterricht teaching
das.Gespräch conversation
nur only
der.Durst thirst
der.Nachtisch dessert
der.Weg way
das.Lebensmittel food
das.Motorrad motorbike
das.Sonderangebot special.offer
der.Schinken ham
die.Dose tin
die.Tüte bag
der.Teller plat
die.Gabel fork
die.Spüle sink
der.Geschirrspüler dishwasher
der.Herd stove
der.Küchenschrank cupboard
der.Kühlschrank refrigerator
die.Sahne cream
das.Mehl flour
decken to.cover
denken to.think
kochen to.cook
putzen to.brush
schauen to.watch
spülen to.do.the.washing.up
schneiden to.cut
arbeitslos unemployed
dick thick
leise quiet,silent
schrecklich horrible
weich soft
wenig little
wichtig important
gestern yesterday
nun now
danach afterwards
nur only
übrigens by.the.way
noch still(encara)
schließen to.close
dazu also
schau.mal look!
noch.einmal one.more.time
Ausdrücke expressions
die.Aussprache pronounciation
die.Glocke bell
der.Unterricht lesson
der.Urlaub holidays
der.Zug train
das.Gleis track
das.Lied song
der.Hut hat
der.Anzug suit
der.Mantel coat
der.Schal scarf
der.Slip panties
die.Stiefel the.boots
das.Hemd shirt
die.Vorspeise starter
die.Haupspeise main.course
die.Nachspeise dessert
die.Bestellung order(restaurant)
die.Bohnen the.green.beans
die.EC.Karte debit.card
die.Pfanne pan
die.Rechnung check
das.Kalb calf
das.Rindfleisch beef
das.Trinkgeld tip(propina)
die.Zähne the.teeth
kämmen to.comb
klingeln to.ring
notieren to.write.down
packen to.pack.up
blöd stupid
fertig ready,finished
gemütlich acollidor
reich rich
satt full(tip)
scharf spicy
macht.gut take.care!
trocken dry
verwandt related
wirklich really
würzig tasty
also so(per.tant)
zuerst first
alle all
alles everything
etwas something
nichts nothing
überall everywhere
irgendwo somewhere
nirgendwo nowhere
jeder everybody
jemand somebody
niemand nobody
jedesmal everytime
manchmal sometimes
niemals never
der.Liebling the.loved
der.Schatz treasure
stimmt.so keep.the.change
üben to.practice
ebenso as.well
wieder again
selten seldom
der.Anzug suit
der.Mantel coat
der.Schauspieler actor
das.Dorf village
bald soon
das.Gesicht face
ruhig silent
leise quiet
die.Bratpfanne frying.pan
riesig huge
mies lousy
berühmt famous
unbekannt unknown
dünkel dark
geschieden divorced
weich soft
leicht light,easy
nass wet
trocken dry
sauber clean
dreckig dirty
reich rich
arm poor
der.Buchstabe letter
die.Nummer number(general)
die.Zahl number(calculations)
etwa about,approximately
das.letzte the.last
schon already
bereits already
jederzeit anytime
der.Unterschied difference
wirklich really,truly
jeweils each
genug enough
einige a.few,several
zwischen between,among
wahlen to.choose,to.vote
die.Bedeutung meaning
gratuilieren to.congratulate
die.Brille the.glasses
die.Dauer duration
die.Führung guide,leadership,management
die.Wand wall
der.Dichter poet
der.Eintritt entry
der.Fluss river
klettern to.climb
der.Tipp tip(punta)
der.Wald forest
der.Weinberg vineyard
das.Geschenk gift
das.Labor laboratory
das.Tor gate
der.Buchladen bookstore
der.Wolkenkratzer skyscraper
die.Schlange snake
die.Abfahrt the.farewell
die.Ankunft the.arrival
die.Durchsage announcement
der.Verspätung delay
der.Bahnsteig platform
der.Fahrplan timetable
das.Gleis track
laufen to.walk,to.run
rechnen to.calculate
zählen to.count
beliebt popular
berühmt famous
fröhlich joyful
gefährlich dangerous
wunderbar wonderful
wunderschön beautiful
zufrieden satisfied,content
genug enough
weiter more,further
besonders in.particular,specially
wen? whom?
manche some
die.meinsten most.of.the
rad.fahren to.go.biking
zu.zweit for.two
zum.Schluss in.the.end
stellen to.put,to.place
AUFstellen to.setp.up,to.put.up
ANkreuzen to.mark.with.a.cross
bringen to.bring
MITbringen to.bring.along
WEGbringen to.bring.away
stehen to.stand
AUFstehen to.stand.up
machen to.do
ANmachen to.turn.on
AUS.machen to.turn.off
